,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree,projtype_id
2818838,Teacher-Led,Computers & Tablets,Literacy & Language,Foreign Languages,640
2819628,Teacher-Led,Supplies,Applied Learning,"Character Education, Extracurricular",641
2820332,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Health & Life Science, Visual Arts",642
2825700,Teacher-Led,Other,"Applied Learning, Music & The Arts","Early Development, Performing Arts",643
2829282,Teacher-Led,Classroom Basics,Applied Learning,"Character Education, Community Service",644
2829326,Teacher-Led,Other,"Applied Learning, Special Needs","Other, Special Needs",645
2838279,Teacher-Led,Other,Math & Science,"Applied Sciences, Health & Life Science",646
2839366,Teacher-Led,Trips,"Math & Science, Music & The Arts","Environmental Science, Visual Arts",647
2839754,Teacher-Led,Instructional Technology,Applied Learning,Other,648
2839774,Teacher-Led,Technology,"Health & Sports, Special Needs","Gym & Fitness, Special Needs",649
2845766,Teacher-Led,Educational Kits & Games,"Literacy & Language, Math & Science","ESL, Mathematics",650
2846908,Teacher-Led,"Food, Clothing & Hygiene","Applied Learning, Special Needs","Other, Special Needs",651
2847029,Teacher-Led,Visitors,"History & Civics, Music & The Arts","History & Geography, Performing Arts",652
2847619,Teacher-Led,Supplies,"Applied Learning, Math & Science","College & Career Prep, Health & Life Science",653
2847741,Teacher-Led,Supplies,"Health & Sports, Music & The Arts","Gym & Fitness, Performing Arts",654
2849581,Teacher-Led,Trips,History & Civics,"Civics & Government, History & Geography",655
2849589,Teacher-Led,"Food, Clothing & Hygiene",Applied Learning,"Extracurricular, Parent Involvement",656
2851157,Teacher-Led,Books,"Math & Science, Music & The Arts","Mathematics, Visual Arts",657
2852566,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Early Development, Visual Arts",658
2853330,Teacher-Led,Other,"Applied Learning, Health & Sports","Character Education, Health & Wellness",659
2862659,Teacher-Led,Trips,Music & The Arts,"Music, Performing Arts",660
2873136,Teacher-Led,Trips,"Math & Science, Special Needs","Applied Sciences, Special Needs",661
2876393,Teacher-Led,Other,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",662
2877296,Student-Led,Flexible Seating,Health & Sports,Health & Wellness,663
2882550,Teacher-Led,Sports & Exercise Equipment,"Applied Learning, Health & Sports","Extracurricular, Team Sports",664
2884294,Student-Led,Trips,Applied Learning,"College & Career Prep, Community Service",665
2892108,Professional Development,Books,Math & Science,Mathematics,666
2893167,Teacher-Led,Books,History & Civics,History & Geography,667
2893900,Teacher-Led,Trips,Music & The Arts,Performing Arts,668
2895186,Teacher-Led,Lab Equipment,"Health & Sports, Special Needs","Health & Wellness, Special Needs",669
2897755,Teacher-Led,Instructional Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",670
2898974,Teacher-Led,Visitors,"Math & Science, Literacy & Language","Environmental Science, Literacy",671
2901598,Teacher-Led,Other,"History & Civics, Math & Science","Civics & Government, Mathematics",672
2901879,Teacher-Led,Trips,"Health & Sports, Special Needs","Health & Wellness, Special Needs",673
2901882,Teacher-Led,Other,"Health & Sports, Special Needs","Gym & Fitness, Special Needs",674
2903771,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Other, Visual Arts",675
2903942,Teacher-Led,Sports & Exercise Equipment,Health & Sports,"Health & Wellness, Team Sports",676
2904064,Teacher-Led,Technology,"Applied Learning, Math & Science","College & Career Prep, Mathematics",677
2906494,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Character Education, Literature & Writing",678
2907476,Teacher-Led,Technology,Health & Sports,"Gym & Fitness, Team Sports",679
2916809,Professional Development,Trips,"Health & Sports, Music & The Arts","Gym & Fitness, Music",680
2916822,Teacher-Led,Visitors,Literacy & Language,Literature & Writing,681
2916826,Teacher-Led,Classroom Basics,"Math & Science, Music & The Arts","Mathematics, Visual Arts",682
2919071,Teacher-Led,Books,"History & Civics, Special Needs","Social Sciences, Special Needs",683
2919465,Teacher-Led,Other,"Applied Learning, Math & Science","Community Service, Environmental Science",684
2921043,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",685
2923824,Professional Development,Trips,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",686
2929792,Teacher-Led,Supplies,"Math & Science, Applied Learning","Applied Sciences, Character Education",687
2929808,Teacher-Led,Supplies,"Math & Science, Applied Learning","Health & Life Science, Other",688
2929809,Teacher-Led,Other,"Math & Science, Applied Learning","Applied Sciences, Character Education",689
2929835,Teacher-Led,Technology,"Math & Science, Music & The Arts","Mathematics, Performing Arts",690
2929846,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Extracurricular",691
2929873,Teacher-Led,Other,"Math & Science, Literacy & Language","Environmental Science, Literacy",692
2932307,Teacher-Led,Books,"History & Civics, Music & The Arts","History & Geography, Performing Arts",693
2932539,Teacher-Led,Supplies,"Health & Sports, Applied Learning","Health & Wellness, Other",694
2932565,Teacher-Led,Technology,"History & Civics, Math & Science","Financial Literacy, Mathematics",695
2933080,Teacher-Led,Art Supplies,"Health & Sports, Music & The Arts","Health & Wellness, Visual Arts",696
2937398,Teacher-Led,Technology,"History & Civics, Literacy & Language","Financial Literacy, Literature & Writing",697
2937399,Teacher-Led,Supplies,"Literacy & Language, Special Needs","ESL, Special Needs",698
2937404,Teacher-Led,Technology,Applied Learning,"Community Service, Other",699
2937406,Teacher-Led,Educational Kits & Games,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",700
2940030,Teacher-Led,Technology,"Applied Learning, History & Civics","College & Career Prep, Social Sciences",701
2940036,Teacher-Led,Educational Kits & Games,Health & Sports,Team Sports,702
2942631,Teacher-Led,"Food, Clothing & Hygiene",Applied Learning,Community Service,703
2956496,Teacher-Led,Flexible Seating,Literacy & Language,"Foreign Languages, Literacy",704
2961141,Teacher-Led,Supplies,"Applied Learning, Math & Science","Community Service, Health & Life Science",705
2961143,Teacher-Led,Other,"Music & The Arts, Special Needs","Music, Special Needs",706
2963245,Teacher-Led,Flexible Seating,Health & Sports,"Gym & Fitness, Health & Wellness",707
2963901,Professional Development,Trips,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",708
2965747,Teacher-Led,Visitors,Math & Science,"Environmental Science, Health & Life Science",709
2967256,Teacher-Led,Technology,"Applied Learning, Literacy & Language","College & Career Prep, ESL",710
2970865,Teacher-Led,"Food, Clothing & Hygiene","Health & Sports, Literacy & Language","Health & Wellness, Literacy",711
2971217,Teacher-Led,Other,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",712
2973413,Teacher-Led,Books,Math & Science,"Applied Sciences, Environmental Science",713
2973421,Teacher-Led,Instructional Technology,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",714
2976609,Teacher-Led,Visitors,Music & The Arts,Performing Arts,715
2982423,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Mathematics, Performing Arts",716
2982869,Teacher-Led,Supplies,"Health & Sports, Literacy & Language","Gym & Fitness, Literacy",717
2984412,Teacher-Led,Computers & Tablets,Music & The Arts,Music,718
2985895,Teacher-Led,Other,"Applied Learning, Special Needs","Character Education, Special Needs",719
2986902,Teacher-Led,Technology,"Applied Learning, Math & Science","Character Education, Mathematics",720
2989129,Student-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",721
2996146,Teacher-Led,Other,Math & Science,Applied Sciences,722
3001966,Professional Development,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics",723
3001999,Teacher-Led,Technology,Applied Learning,"Character Education, Other",724
3004597,Teacher-Led,Trips,Health & Sports,"Gym & Fitness, Team Sports",725
3008513,Teacher-Led,Educational Kits & Games,"Literacy & Language, Math & Science","ESL, Environmental Science",726
3008835,Teacher-Led,Educational Kits & Games,"Literacy & Language, Applied Learning","ESL, Early Development",727
3016536,Teacher-Led,Supplies,"Math & Science, Health & Sports","Environmental Science, Team Sports",728
3020303,Teacher-Led,Other,Literacy & Language,Foreign Languages,729
3021882,Teacher-Led,Supplies,"Applied Learning, Health & Sports","College & Career Prep, Nutrition Education",730
3026042,Student-Led,Trips,Math & Science,"Applied Sciences, Mathematics",731
3027531,Teacher-Led,"Food, Clothing & Hygiene",Special Needs,Special Needs,732
3035170,Teacher-Led,Supplies,Applied Learning,"Character Education, Early Development",733
3037321,Teacher-Led,Classroom Basics,Health & Sports,Health & Wellness,734
3037326,Teacher-Led,Educational Kits & Games,"Math & Science, Music & The Arts","Mathematics, Visual Arts",735
3037336,Teacher-Led,Classroom Basics,"Literacy & Language, History & Civics","ESL, History & Geography",736
3043244,Teacher-Led,Instructional Technology,Health & Sports,"Health & Wellness, Team Sports",737
3048454,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Special Needs","ESL, Special Needs",738
3051411,Teacher-Led,Flexible Seating,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",739
3051422,Student-Led,Supplies,"Applied Learning, Math & Science","College & Career Prep, Mathematics",740
3051441,Teacher-Led,Lab Equipment,Music & The Arts,"Performing Arts, Visual Arts",741
3061143,Teacher-Led,Classroom Basics,Math & Science,Mathematics,742
3061153,Teacher-Led,Supplies,"Health & Sports, Music & The Arts","Health & Wellness, Performing Arts",743
3061484,Teacher-Led,Supplies,"Applied Learning, Math & Science","Early Development, Health & Life Science",744
3061489,Teacher-Led,Technology,"Math & Science, History & Civics","Environmental Science, Social Sciences",745
3077588,Teacher-Led,Supplies,Applied Learning,"Character Education, Parent Involvement",746
3078447,Teacher-Led,Supplies,Applied Learning,"College & Career Prep, Extracurricular",747
3080012,Professional Development,Trips,"History & Civics, Music & The Arts","Social Sciences, Visual Arts",748
3083779,Teacher-Led,Other,"Math & Science, Music & The Arts","Mathematics, Music",749
3090596,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Health & Life Science, Literacy",750
3091946,Teacher-Led,Technology,"Math & Science, Music & The Arts","Environmental Science, Performing Arts",751
3097106,Teacher-Led,Other,Music & The Arts,Music,752
3100433,Teacher-Led,Books,Math & Science,"Environmental Science, Health & Life Science",753
3100724,Teacher-Led,Supplies,"Literacy & Language, Health & Sports","Literature & Writing, Nutrition Education",754
3106520,Teacher-Led,Supplies,"Applied Learning, Music & The Arts","Community Service, Visual Arts",755
3112111,Teacher-Led,Other,Math & Science,Health & Life Science,756
3115474,Teacher-Led,Trips,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",757
3115490,Teacher-Led,Musical Instruments,"Music & The Arts, Special Needs","Music, Special Needs",758
3115491,Teacher-Led,Technology,"Applied Learning, Math & Science","Early Development, Mathematics",759
3118814,Teacher-Led,Books,"Applied Learning, Math & Science","College & Career Prep, Mathematics",760
3120836,Teacher-Led,Classroom Basics,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",761
3121478,Teacher-Led,Instructional Technology,Math & Science,Applied Sciences,762
3125052,Teacher-Led,Educational Kits & Games,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",763
3125564,Teacher-Led,Supplies,"Applied Learning, Math & Science","Community Service, Environmental Science",764
3126070,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Community Service, Literature & Writing",765
3131761,Teacher-Led,Trips,Applied Learning,"Character Education, College & Career Prep",766
3141123,Teacher-Led,Flexible Seating,"Health & Sports, Applied Learning","Health & Wellness, Other",767
3143313,Teacher-Led,Other,"Math & Science, Literacy & Language","Applied Sciences, ESL",768
3147966,Teacher-Led,Computers & Tablets,"Math & Science, Applied Learning","Mathematics, Other",769
3149686,Teacher-Led,Computers & Tablets,History & Civics,"Civics & Government, Social Sciences",770
3152876,Teacher-Led,Supplies,"Literacy & Language, History & Civics","Literature & Writing, Social Sciences",771
3156698,Teacher-Led,Supplies,Health & Sports,"Health & Wellness, Nutrition Education",772
3158283,Teacher-Led,Books,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",773
3162171,Teacher-Led,Trips,"Math & Science, History & Civics","Environmental Science, History & Geography",774
3168388,Teacher-Led,Supplies,"Math & Science, Health & Sports","Environmental Science, Health & Wellness",775
3171052,Teacher-Led,Supplies,"Health & Sports, Music & The Arts","Health & Wellness, Music",776
3172135,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",777
3173540,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Extracurricular, Literature & Writing",778
3173549,Teacher-Led,Educational Kits & Games,"Applied Learning, Math & Science","Character Education, Mathematics",779
3173554,Teacher-Led,Supplies,"Math & Science, Applied Learning","Mathematics, Parent Involvement",780
3181549,Teacher-Led,Books,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",781
3186440,Teacher-Led,Other,"Special Needs, Music & The Arts","Special Needs, Visual Arts",782
3189566,Professional Development,Books,Literacy & Language,Literature & Writing,783
3189899,Teacher-Led,Visitors,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",784
3190564,Teacher-Led,"Reading Nooks, Desks & Storage",Literacy & Language,"Literacy, Literature & Writing",785
3191014,Teacher-Led,Supplies,Applied Learning,"College & Career Prep, Community Service",786
3192590,Teacher-Led,Instructional Technology,Math & Science,Environmental Science,787
3194517,Teacher-Led,Books,"Math & Science, History & Civics","Health & Life Science, History & Geography",788
3195063,Teacher-Led,Books,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",789
3195076,Teacher-Led,Trips,"Math & Science, Special Needs","Environmental Science, Special Needs",790
3196242,Teacher-Led,Technology,History & Civics,Social Sciences,791
3196764,Teacher-Led,Other,Math & Science,"Health & Life Science, Mathematics",792
3197306,Teacher-Led,Classroom Basics,Literacy & Language,Literature & Writing,793
3198057,Teacher-Led,Technology,"Literacy & Language, History & Civics","Literacy, Social Sciences",794
3201226,Teacher-Led,Instructional Technology,"Math & Science, Applied Learning","Applied Sciences, Extracurricular",795
3201230,Teacher-Led,Other,Health & Sports,"Gym & Fitness, Team Sports",796
3204548,Teacher-Led,Trips,History & Civics,"History & Geography, Social Sciences",797
3207262,Professional Development,Technology,Applied Learning,Character Education,798
3211046,Teacher-Led,Books,"Math & Science, Special Needs","Mathematics, Special Needs",799
3212172,Student-Led,Supplies,"Math & Science, Special Needs","Health & Life Science, Special Needs",800
3214552,Teacher-Led,Other,"Health & Sports, Math & Science","Health & Wellness, Mathematics",801
3215894,Teacher-Led,Books,Math & Science,"Environmental Science, Mathematics",802
3218286,Student-Led,Supplies,"Warmth, Care & Hunger","Warmth, Care & Hunger",803
3219927,Teacher-Led,Technology,"Special Needs, Music & The Arts","Special Needs, Visual Arts",804
3231336,Teacher-Led,Books,"Math & Science, History & Civics","Applied Sciences, Social Sciences",805
3233305,Teacher-Led,Other,"Math & Science, Health & Sports","Health & Life Science, Health & Wellness",806
3234033,Teacher-Led,Other,"Applied Learning, Health & Sports","Early Development, Health & Wellness",807
3235440,Teacher-Led,Supplies,"Music & The Arts, Special Needs","Performing Arts, Special Needs",808
3235450,Teacher-Led,Flexible Seating,"Applied Learning, Literacy & Language","Character Education, Literacy",809
3243940,Teacher-Led,Technology,"Literacy & Language, History & Civics","ESL, History & Geography",810
3248037,Teacher-Led,Supplies,"Math & Science, History & Civics","Environmental Science, Social Sciences",811
3254356,Teacher-Led,Trips,"Math & Science, Health & Sports","Environmental Science, Health & Wellness",812
3263021,Teacher-Led,Educational Kits & Games,"Literacy & Language, Special Needs","Literacy, Special Needs",813
3265930,Teacher-Led,Visitors,Health & Sports,"Health & Wellness, Nutrition Education",814
3268669,Teacher-Led,Supplies,Health & Sports,Gym & Fitness,815
3277027,Teacher-Led,Technology,"Applied Learning, Health & Sports","Character Education, Health & Wellness",816
3279285,Teacher-Led,Supplies,"Math & Science, History & Civics","Applied Sciences, History & Geography",817
3279289,Teacher-Led,Technology,"History & Civics, Math & Science","History & Geography, Mathematics",818
3282572,Teacher-Led,Supplies,"Math & Science, Applied Learning","Applied Sciences, Early Development",819
3285397,Teacher-Led,Educational Kits & Games,Literacy & Language,"ESL, Literacy",820
3287228,Student-Led,Supplies,Music & The Arts,Music,821
3288588,Teacher-Led,Supplies,"Literacy & Language, Applied Learning","ESL, Early Development",822
3291592,Teacher-Led,Supplies,"History & Civics, Special Needs","History & Geography, Special Needs",823
3296369,Teacher-Led,Other,Applied Learning,Other,824
3298525,Teacher-Led,Technology,"Literacy & Language, Math & Science","Foreign Languages, Health & Life Science",825
3299974,Teacher-Led,Art Supplies,Literacy & Language,ESL,826
3307443,Teacher-Led,Computers & Tablets,"History & Civics, Literacy & Language","History & Geography, Literature & Writing",827
3309834,Teacher-Led,Computers & Tablets,Music & The Arts,Visual Arts,828
3311957,Teacher-Led,Supplies,"History & Civics, Math & Science","Economics, Mathematics",829
3312937,Teacher-Led,Technology,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",830
3323023,Teacher-Led,Supplies,History & Civics,"History & Geography, Social Sciences",831
3325555,Teacher-Led,Sports & Exercise Equipment,Health & Sports,"Gym & Fitness, Team Sports",832
3326197,Professional Development,Trips,"Literacy & Language, Special Needs","Literacy, Special Needs",833
3328063,Teacher-Led,Books,Math & Science,Applied Sciences,834
3332989,Teacher-Led,Educational Kits & Games,Math & Science,"Applied Sciences, Mathematics",835
3337110,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,Early Development,836
3339052,Teacher-Led,Supplies,Applied Learning,"Character Education, College & Career Prep",837
3339065,Teacher-Led,Educational Kits & Games,"Health & Sports, Special Needs","Health & Wellness, Special Needs",838
3342808,Teacher-Led,Art Supplies,Health & Sports,"Gym & Fitness, Health & Wellness",839
3345716,Teacher-Led,Other,Health & Sports,"Health & Wellness, Team Sports",840
3347142,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Other, Visual Arts",841
3349994,Teacher-Led,Flexible Seating,"Warmth, Care & Hunger","Warmth, Care & Hunger",842
3351324,Teacher-Led,Books,History & Civics,Social Sciences,843
3356809,Teacher-Led,Other,"History & Civics, Music & The Arts","History & Geography, Visual Arts",844
3359403,Teacher-Led,Books,"Math & Science, Literacy & Language","Applied Sciences, Literacy",845
3361163,Teacher-Led,Technology,"Warmth, Care & Hunger","Warmth, Care & Hunger",846
3363394,Teacher-Led,Technology,"History & Civics, Math & Science","Economics, Mathematics",847
3365337,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Early Development, Literature & Writing",848
3365695,Teacher-Led,Technology,History & Civics,History & Geography,849
3367948,Teacher-Led,Supplies,Applied Learning,"College & Career Prep, Other",850
3369292,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Math & Science","Literacy, Mathematics",851
3374520,Teacher-Led,Classroom Basics,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",852
3374522,Teacher-Led,Instructional Technology,Music & The Arts,"Performing Arts, Visual Arts",853
3374526,Teacher-Led,Technology,"History & Civics, Applied Learning","Civics & Government, Other",854
3375205,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",855
3377195,Teacher-Led,Supplies,"Math & Science, Applied Learning","Applied Sciences, Other",856
3383175,Teacher-Led,Books,Math & Science,"Applied Sciences, Mathematics",857
3384583,Teacher-Led,"Reading Nooks, Desks & Storage","Applied Learning, Math & Science","College & Career Prep, Health & Life Science",858
3385401,Teacher-Led,Technology,Health & Sports,Health & Wellness,859
3390128,Teacher-Led,Other,Health & Sports,"Gym & Fitness, Health & Wellness",860
3391395,Teacher-Led,Technology,History & Civics,"Civics & Government, History & Geography",861
3391920,Teacher-Led,Technology,"Math & Science, Literacy & Language","Environmental Science, Foreign Languages",862
3395005,Teacher-Led,Books,Math & Science,"Applied Sciences, Health & Life Science",863
3399970,Teacher-Led,Computers & Tablets,"Applied Learning, Special Needs","Early Development, Special Needs",864
3408260,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Early Development, Literacy",865
3408867,Teacher-Led,Other,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",866
3414834,Teacher-Led,Technology,"Math & Science, History & Civics","Health & Life Science, History & Geography",867
3414838,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Parent Involvement, Visual Arts",868
3414839,Teacher-Led,Books,"Literacy & Language, Math & Science","Literature & Writing, Mathematics",869
3415255,Teacher-Led,Supplies,"Literacy & Language, Math & Science","Foreign Languages, Mathematics",870
3418091,Teacher-Led,Other,"Math & Science, Literacy & Language","Applied Sciences, Literacy",871
3418398,Teacher-Led,Sports & Exercise Equipment,Music & The Arts,Visual Arts,872
3420777,Teacher-Led,Supplies,History & Civics,Financial Literacy,873
3422860,Teacher-Led,Computers & Tablets,"History & Civics, Math & Science","Financial Literacy, Mathematics",874
3422861,Teacher-Led,Books,"Math & Science, Literacy & Language","Applied Sciences, ESL",875
3427108,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Special Needs","Literacy, Special Needs",876
3431257,Teacher-Led,Lab Equipment,Math & Science,Applied Sciences,877
3432062,Teacher-Led,Technology,Applied Learning,"Community Service, Extracurricular",878
3432362,Teacher-Led,Educational Kits & Games,"Math & Science, Special Needs","Mathematics, Special Needs",879
3434444,Teacher-Led,Supplies,History & Civics,History & Geography,880
3438158,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Applied Sciences, ESL",881
3440972,Teacher-Led,Technology,"Math & Science, Literacy & Language","Applied Sciences, Foreign Languages",882
3443683,Teacher-Led,Lab Equipment,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",883
3443882,Teacher-Led,Trips,"Math & Science, Literacy & Language","Environmental Science, Literature & Writing",884
3444317,Teacher-Led,Instructional Technology,"Math & Science, Literacy & Language","Applied Sciences, Literacy",885
3445796,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",886
3449036,Teacher-Led,Instructional Technology,"Literacy & Language, Applied Learning","Literacy, Parent Involvement",887
3449191,Professional Development,Trips,"Literacy & Language, Math & Science","Literacy, Mathematics",888
3450420,Teacher-Led,Educational Kits & Games,Math & Science,Mathematics,889
3453981,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literacy",890
3454838,Student-Led,Supplies,"Health & Sports, History & Civics","Nutrition Education, Social Sciences",891
3455253,Teacher-Led,Technology,"Applied Learning, Special Needs","College & Career Prep, Special Needs",892
3462136,Teacher-Led,Visitors,"Literacy & Language, Music & The Arts","Literature & Writing, Music",893
3462347,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Applied Sciences, Literacy",894
3463380,Teacher-Led,Other,"Literacy & Language, Health & Sports","Literacy, Nutrition Education",895
3464081,Teacher-Led,Instructional Technology,"Applied Learning, Special Needs","Other, Special Needs",896
3468959,Teacher-Led,Other,"Applied Learning, Music & The Arts","Community Service, Visual Arts",897
3474391,Teacher-Led,Other,Applied Learning,Early Development,898
3477393,Teacher-Led,Other,Music & The Arts,"Music, Performing Arts",899
3479811,Teacher-Led,Computers & Tablets,Literacy & Language,ESL,900
3486483,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Character Education",901
3486693,Teacher-Led,Trips,Health & Sports,"Health & Wellness, Team Sports",902
3489379,Teacher-Led,Books,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",903
3490263,Teacher-Led,Supplies,"Health & Sports, Special Needs","Gym & Fitness, Special Needs",904
3490490,Teacher-Led,Technology,Music & The Arts,"Music, Performing Arts",905
3491161,Teacher-Led,Lab Equipment,"Warmth, Care & Hunger","Warmth, Care & Hunger",906
3495310,Professional Development,Computers & Tablets,Literacy & Language,Literacy,907
3495601,Teacher-Led,Supplies,"Math & Science, Applied Learning","Environmental Science, Extracurricular",908
3499848,Teacher-Led,Books,Literacy & Language,"ESL, Literature & Writing",909
3500416,Teacher-Led,Other,Math & Science,"Applied Sciences, Environmental Science",910
3502313,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",911
3503507,Teacher-Led,Lab Equipment,Math & Science,Environmental Science,912
3504468,Teacher-Led,Supplies,"Applied Learning, Health & Sports","Early Development, Gym & Fitness",913
3507438,Student-Led,Technology,Math & Science,Environmental Science,914
3507944,Teacher-Led,Trips,History & Civics,"Economics, History & Geography",915
3510525,Teacher-Led,Computers & Tablets,"Math & Science, Literacy & Language","Applied Sciences, ESL",916
3510588,Teacher-Led,Trips,Applied Learning,Extracurricular,917
3513371,Teacher-Led,Flexible Seating,Literacy & Language,"Literacy, Literature & Writing",918
3514930,Teacher-Led,Technology,Applied Learning,"Character Education, Parent Involvement",919
3515381,Teacher-Led,Classroom Basics,Literacy & Language,Literacy,920
3519961,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",921
3520008,Teacher-Led,Books,"Applied Learning, Literacy & Language","Early Development, Literacy",922
3520316,Teacher-Led,Supplies,Literacy & Language,"Foreign Languages, Literacy",923
3520832,Teacher-Led,Technology,History & Civics,"History & Geography, Social Sciences",924
3523318,Teacher-Led,Instructional Technology,Literacy & Language,Literacy,925
3523320,Teacher-Led,Books,"Math & Science, History & Civics","Environmental Science, Social Sciences",926
3527069,Teacher-Led,Trips,"History & Civics, Applied Learning","Civics & Government, College & Career Prep",927
3527320,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",928
3529665,Teacher-Led,Supplies,"Literacy & Language, Math & Science","ESL, Mathematics",929
3529803,Teacher-Led,Other,"Health & Sports, Special Needs","Health & Wellness, Special Needs",930
3534269,Teacher-Led,Supplies,"Applied Learning, Math & Science","Character Education, Mathematics",931
3534827,Teacher-Led,Technology,"Music & The Arts, History & Civics","Music, Social Sciences",932
3535870,Teacher-Led,Instructional Technology,Applied Learning,Character Education,933
3537184,Professional Development,Trips,Literacy & Language,"Literacy, Literature & Writing",934
3542985,Teacher-Led,Books,Music & The Arts,"Music, Performing Arts",935
3546974,Teacher-Led,Supplies,Literacy & Language,"ESL, Literature & Writing",936
3547782,Teacher-Led,Supplies,"Health & Sports, Math & Science","Gym & Fitness, Mathematics",937
3548647,Teacher-Led,Sports & Exercise Equipment,"Applied Learning, Music & The Arts","Early Development, Visual Arts",938
3550905,Teacher-Led,Supplies,"Literacy & Language, History & Civics","Literacy, Social Sciences",939
3552438,Teacher-Led,Computers & Tablets,Literacy & Language,Literature & Writing,940
3553919,Teacher-Led,Flexible Seating,Special Needs,Special Needs,941
3557917,Teacher-Led,Technology,"History & Civics, Special Needs","Civics & Government, Special Needs",942
3558061,Teacher-Led,Trips,Applied Learning,"Character Education, Community Service",943
3561827,Student-Led,Computers & Tablets,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",944
3563794,Teacher-Led,Other,"Applied Learning, Literacy & Language","Extracurricular, Literacy",945
3565527,Teacher-Led,Classroom Basics,"Warmth, Care & Hunger","Warmth, Care & Hunger",946
3565528,Teacher-Led,Flexible Seating,"Applied Learning, Special Needs","Early Development, Special Needs",947
3565768,Teacher-Led,Computers & Tablets,"Math & Science, History & Civics","Health & Life Science, History & Geography",948
3569281,Teacher-Led,Supplies,"Applied Learning, History & Civics","Early Development, Social Sciences",949
3572227,Teacher-Led,Supplies,Literacy & Language,ESL,950
3573026,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Community Service, Literacy",951
3573682,Teacher-Led,Trips,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",952
3574952,Teacher-Led,Supplies,"Literacy & Language, Applied Learning","Literacy, Parent Involvement",953
3575314,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Music",954
3576225,Teacher-Led,Classroom Basics,Music & The Arts,Music,955
3588827,Teacher-Led,Supplies,"Math & Science, Special Needs","Environmental Science, Special Needs",956
3590588,Teacher-Led,Technology,"Applied Learning, Music & The Arts","Character Education, Performing Arts",957
3590981,Teacher-Led,Instructional Technology,"Literacy & Language, Math & Science","ESL, Mathematics",958
3595145,Teacher-Led,Educational Kits & Games,"Applied Learning, Math & Science","Early Development, Mathematics",959
